No_,"Manufacturer ID",Description,Price,"Retail Price Incl_ GST",AvailableQty,Rocklea,Sydney,"Net Weight","Brand Code","Product Group Code","Minor Category 1","Minor Category 2","Vendor Name","Vendor URL","Item URL",Warranty,Dimension,"Item Description",Image
II40098,VL-UCHM2,"VOL CNV USB-C-M-HDMI-4K-F-ADAPTER",19.50,25,20+,20+,0,0.038,VOL,CNV,CNV-VIDEO,#,Volans,www.volans.com.au,https://www.volans.com.au/product/vl-uchm2/,"1 Year",,"Volans VL-UCHM2, Aluminium USB-C to HDMI Adapter 4K/60Hz (HDR10), 1 Year Warranty",https://images.auscomp.au/uploads/images/II40098/full/VOL-CNV-USB-C-M-HDMI-4K-F-ADAPTER.jpg
II40122,POE-24-24W-G,"UBI LAN POE-24-24W-G",30.00,35.45,4,4,0,0,UBI,LAN,LAN-POWERLINE,#,Ubiquiti,www.ui.com,https://www.ui.com/accessories/poe-adapters/,"1 Year",,"Ubiquiti POE-24-24W-G, POE Injector, 24VDC 1A, 24W Features earth grounding/ESD Gigabit LAN, 1 Year Warranty",https://images.auscomp.au//uploads/icecatimages/26155598/26155598_4557334652.jpg
II40188,GA-B450M-DS3H-WIFI,"GIG MBD GA-B450M-DS3H-WIFI",133.00,169,6,6,0,3.2,GIG,MBD,MBD-SKT-AM4,#,Gigabyte,www.gigabyte.com,https://www.gigabyte.com/Motherboard/B450M-DS3H-WIFI-rev-10/sp#sp,"3 Year","27 x 24 x 5","Gigabyte GA-B450M-DS3H-WIFI, Micro ATX, AMD AM4, 4xDDR4, 1xM.2, 4xSATA 6Gb/s, RAID, 3xPCIe, 1xHDMI, GbE LAN, Wireless AC+Bluetooth, 4xUSB2.0, 4xUSB3.0, 3 Year Warranty",https://images.auscomp.au/uploads/images/II40188/full/GIG-MBD-GA-B450M-DS3H-WIFI-1.jpg
II40313,HCAT6BL3SL,"HYP CAB NW-CAT6-3M-SLIM-BLUE",8.00,11.44,20+,20+,0,0,HYP,CAB,CAB-CAT6,#,Hypertec,https://www.legend.com.au,https://www.legend.com.au/search/?s=HCAT6BL3SL,"1 Year",,"Hypertec HCAT6BL3SL, CAT6 28AWG Patch Lead, 3m, Blue , 1 Year Warranty",https://images.auscomp.au/uploads/images/II40313/full/HYP-CAB-NW-CAT6-3M-SLIM-BLUE.jpg
II40325,DP301M,"ANT CAS DP301M-ARGB",78.00,114.4,3,3,0,7,ANT,CAS,MID-TOWER,GAMING,Antec,https://antec.com,https://antec.com/product/case/dp301m.php,"2 Years",,"Antec DP301M, Mini-Tower, Tempered Glass, Drive Bays: 2x3.5"", 2x2.5"", Expansion Slot: 4, Motherboard Support: Micro-ATX/Mini-ITX, Pre-Installed Fan: 1x120mm, RGB, Black, 2 Year Warranty",https://images.auscomp.au//uploads/icecatimages/66667423/66667423_4425782617.jpg
II40326,ST12000VN0008,"SGT HDD SATA-12TB-ST12000VN0008",425.50,579.09,12,12,0,1.5,SGT,HDD,HDD-3.5,HDD-STD,Seagate,www.seagate.com,,"3 Years",,"Seagate ST12000VN0008, IronWolf, 12TB, 3.5"", SATA 6Gb/s, 7200RPM, 256MB Cache, 3 Year Warranty",https://images.auscomp.au//uploads/icecatimages/62330468/62330468_0888621147.jpg
II40381,"GT 710 2GD3H LP","MSI VGA GT710-2GD3H-LP",49.50,88,50+,50+,0,0,MSI,VGA,VGA-NVIDIA,VGA-710,MSI,https://www.msi.com,https://www.msi.com/Graphics-card/GT-710-2GD3H-LP/Specification,"3 Years",,"MSI GT 710 2GD3H LP, Nvidia GeForce GT 710, 2GB DDR3, PCIe 2.0 x16, Clock 954 MHz, 300W, HDMI, VGA, DVI-D, 3 Years Warranty",https://images.auscomp.au//uploads/icecatimages/30829131/30829131_9286.jpg
II40393,USW-FLEX,"UBI LAN USW-FLEX",179.50,199.09,1,1,0,0,UBI,LAN,LAN-SWITCH,#,Ubiquiti,https://www.ui.com,https://www.ui.com/unifi-switching/unifi-switch-flex/,"2 Year","16 x 17 x 5","Ubiquiti USW-Flex, Managed 5 Port PoE Switch, Layer 2 Gigabit switch with auto-sensing 802.3af PoE support, 2 Year Warranty",https://images.auscomp.au//uploads/icecatimages/73325888/73320581_2356585846.jpg
II40428,910-005790,"LOG MSE G203-LIGHTSYNC-BLACK",34.50,63.59,15,15,0,0,LOG,MSE,MSE-WIRED,MSE-GAMING,Logitech,https://www.logitechg.com/,https://www.logitechg.com/en-us/products/gaming-mice/g203-lightsync-rgb-gaming-mouse.910-005791.html,"2 Year",,"Logitech 910-005790, G203 Lightsync RGB Gaming Mouse, Wired, 200-8000 dpi, 6 Programmable Buttons, USB, Black, 2 Year Warranty",https://images.auscomp.au/uploads/images/II40428/full/LOG-MSE-G203-LIGHTSYNC-BLACK.jpg
II40430,981-000612,"LOG HDS H111",17.50,49,6,6,0,0,LOG,HDS,HEADSET-WIRED,HEADSET-STANDARD,Logitech,https://www.logitech.com,https://www.logitech.com/en-us/product/stereo-headset-h111,"1 Year",,"Logitech 981-000612, H111 Stereo Headset, 3.5mm, 1.8M Cable, Impedence 32Ohms, Microphone reponse 100 Hz –16kHz, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40430/full/LOG-HDS-H111.jpg
II40412,M7000,"TPL LAN M7000",76.00,99,2,2,0,0,TPL,LAN,LAN-ROUTERS,#,"TP Link",https://www.tp-link.com,https://www.tp-link.com/au/home-networking/mifi/m7000/#overview,"1 Year",,"TP Link M7000, 4G LTE Mobile Wi-Fi, 2000mAh Rechargeable Battery, Up to 150Mbps, 1 Year Warranty",https://images.auscomp.au//uploads/icecatimages/79805225/79805225_9118602754.jpg
II40517,920-008682,"LOG KBD MK540",71.00,119.95,50+,50+,8,1.5,LOG,KBD,KBD-WIRELESS,KBD-COMBO,Logitech,https://www.logitech.com,https://www.logitech.com/en-au/product/mk540-advanced-wireless-keyboard-mouse-combo,"1 Year",,"Logitech 920-008682, MK540 Advanced Wireless Keyboard and Mouse Combo, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40517/full/LOG-KBD-MK540.jpg
II40530,NW382,"SMP LAN USB-NW382",9.00,19,4,4,0,0,SMP,LAN,LAN-USB-ADAPTORS,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/catalogsearch/result/?q=NW382,"1 Year",,"Simplecom NW382, Mini Wireless N USB WiFi Adapter 802.11n 300Mbps, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40530/full/SMP-LAN-USB-NW382.jpg
II40532,NW602,"SMP LAN USB-NW602",16.25,29,3,3,0,0,SMP,LAN,LAN-USB-ADAPTORS,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/catalogsearch/result/?q=NW602,"1 Year","27 x 13 x 8","Simplecom NW602, AC600 Dual Band Nano USB WiFi Wireless Adapter, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40532/full/SMP-LAN-USB-NW602.jpg
II40536,DA310,"SMP CNV USB3-M-F-HDMI-USB3-DP-ADAPTER",16.50,39,4,4,0,0,SMP,CNV,CNV-USB,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/catalogsearch/result/?q=DA310,"1 Year",,"Simplecom DA310, USB 3.1 Type C to HDMI USB 3.0 Adapter with PD Charging, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40536/full/SMP-CNV-USB3-M-F-HDMI-USB3-DP-ADAPTER.jpg
II40538,DA316A,"SMP CNV USB3-M-F-HDMI-VGA-ADAPTER",22.50,39,20+,20+,0,0.038,SMP,CNV,CNV-VIDEO,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/catalogsearch/result/?q=DA202,"1 Year","20 x 12 x 2","Simplecom DA316A, USB 3.0 to HDMI + VGA Video Card Adapter with 3.5mm Audio, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40538/full/SMP-CNV-USB3-M-F-HDMI-VGA-ADAPTER.jpg
II40537,DA202,"SMP CAB MINI-DISPLAYPORT-M-M-HDMI-1.8M",9.75,29,3,3,0,0,SMP,CAB,CAB-HDMI,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/catalogsearch/result/?q=DA202,"1 Year",,"Simplecom DA202, 4K Mini DisplayPort (miniDP) to HDMI Cable 2160P Ultra HD 1.8M, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40537/full/SMP-CAB-MINI-DISPLAYPORT-M-M-HDMI-18M.jpg
II40540,NW601,"SMP LAN USB-NW601",14.25,29,4,4,0,0,SMP,LAN,LAN-USB-ADAPTORS,#,Simplecom,https://www.simplecom.com.au/,https://www.simplecom.com.au/simplecom-nw601-ac600-mini-wifi-dual-band-wireless-usb-adapter.html,"1 Year",,"Simplecom NW601 AC600 Mini WiFi Dual Band Wireless USB Adapter, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40540/full/SMP-LAN-USB-NW601.jpg
II40567,PL6A-5GRY,"8WR CAB NW-CAT6-5M-SNAGLESS-GREY",3.80,6,2,2,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,,,"1 Year","27 x 20 x 6","8Ware PL6A-5GRY, Cat6a UTP Ethernet Cable 5m Snagless Grey, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40567/full/8WR-CAB-NW-CAT6-5M-SNAGLESS-GREY.jpg
II40570,AT-RJ45BLUF6A-5M,"ASO CAB NW-CAT6A-5M-BLUE",7.40,13,1,1,0,0.3,ASO,CAB,CAB-CAT6,#,Astrotek,,,"1 Year","25 x 17 x 3","Astrotek AT-RJ45BLUF6A-5M, CAT6A Shielded Ethernet Cable 5m Blue Color 10GbE RJ45 Network LAN Patch Lead S/FTP LSZH Cord 26AWG, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40570/full/ASO-CAB-NW-CAT6A-5M-BLUE.jpg
II40569,AT-RJ45BLUF6A-10M,"ASO CAB NW-CAT6A-10M-BLUE",10.75,24,14,11,0,0.3,ASO,CAB,CAB-CAT6,#,Astrotek,,,"1 Year","31 x 26 x 6","Astrotek AT-RJ45BLUF6A-10M, CAT6A Shielded Ethernet Cable 10m Blue Color 10GbE RJ45 Network LAN Patch Lead S/FTP LSZH Cord 26AWG, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40569/full/ASO-CAB-NW-CAT6A-10M-BLUE.jpg
II40571,AT-RJ45BLUF6A-3M,"ASO CAB NW-CAT6A-3M-BLUE",5.30,9,10,10,0,0.3,ASO,CAB,CAB-CAT6,#,Astrotek,,,"1 Year","25 x 17 x 3","Astrotek AT-RJ45BLUF6A-3M, CAT6A Shielded Ethernet Cable 3m Blue Color 10GbE RJ45 Network LAN Patch Lead S/FTP LSZH Cord 26AWG, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40571/full/ASO-CAB-NW-CAT6A-3M-BLUE.jpg
II40572,AT-RJ45BLUF6A-1M,"ASO CAB NW-CAT6A-1M-BLUE",2.85,5,50+,10,20+,0.3,ASO,CAB,#,#,Astrotek,,,"1 Year","25 x 17 x 2","Astrotek AT-RJ45BLUF6A-1M, CAT6A Shielded Ethernet Cable 1m Blue Color 10GbE RJ45 Network LAN Patch Lead S/FTP LSZH Cord 26AWG, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40572/full/ASO-CAB-NW-CAT6A-1M-BLUE.jpg
II40588,RC-3079AU-03,"8WR CAB PWR-EXT-AU-M-F-3M",5.75,15,1,1,0,0,8WR,CAB,CAB-CAT6,#,8Ware,,,"1 Year",,"8Ware RC-3079AU-03, AU Main Power Extension, Male to Female, 3m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40588/full/8WR-CAB-PWR-EXT-AU-M-F-3M.jpg
II40623,5TW13AA,"HPL DOC USB-C-G2-5TW13AA",235.00,400,20+,20+,10,2.8,HPL,DOC,#,#,"Hewlett Packard",https://store.hp.com,https://store.hp.com/us/en/pdp/hp-usb-c-a-universal-dock-g2,"1 Year","33 x 24 x 7","HP 5TW13AA, USB-C/A Universal G2 Dock, 100W, 1xHDMI, 2xDP, 1xRJ-45, USB, Wired, Black, 1 Year Warranty 	",https://images.auscomp.au//uploads/icecatimages/70246045/70246045_0697273459.jpg
II40692,"ARCHER C24","TPL LAN ARCHER-C24",42.00,59,20+,20+,0,0,TPL,LAN,LAN-ROUTERS,#,"TP Link",https://www.tp-link.com,https://www.tp-link.com/in/home-networking/wifi-router/archer-c24/,"3 Year","26 X 23 X 8","TP-Link Archer C24, AC750 Dual-Band Wi-Fi Router, 4xAntenna, Modes Router, Access Point, Range Extender, 3 Years Warranty",https://images.auscomp.au//uploads/icecatimages/80485743/80485743_1883766978.jpg
II40694,TL-SM321A-2,"TPL LAN TL-SM321A-2",17.75,19,1,1,0,0,TPL,LAN,LAN-MEDIA-CONVERTER,#,"TP Link",https://www.tp-link.com,https://www.tp-link.com/us/business-networking/accessory/tl-sm321a/,"3 Years",,"TP Link TL-SM321A-2, 1000Base-BX WDM Bi-Directional SFP Module 2KM Range, 3 Years Warranty",https://images.auscomp.au//uploads/icecatimages/80170379/80170379_0259578243.jpg
II40693,"ARCHER C54","TPL LAN ARCHER-C54",50.00,69,19,19,0,0,TPL,LAN,LAN-ROUTERS,#,TP-Link,https://www.tp-link.com,https://www.tp-link.com/au/home-networking/wifi-router/archer-c54/#overview,"3 Years","26 x 23 x 8","TP Link Archer C54, AC1200 Dual-Band Wi-Fi Router, 4xAntenna, MU-MIMO, Modes: Router, Access Point, Range Extender, 3 Years Warranty",https://images.auscomp.au//uploads/icecatimages/80485742/80485742_3557536658.jpg
II40697,TL-SF1005LP,"TPL LAN TL-SF1005LP",41.50,44.55,2,2,0,0,TPL,LAN,LAN-SWITCH,#,"TP Link",https://www.tp-link.com,https://www.tp-link.com/uk/business-networking/poe-switch/tl-sf1005lp/,"5 Years",,"TP Link TL-SF1005LP, 5-Port 10/100Mbps Desktop Switch with 4-Port PoE, 5 Years Warranty",https://images.auscomp.au//uploads/icecatimages/80486268/80486268_1864830776.jpg
II40698,TL-SG1005LP,"TPL LAN TL-SG1005LP",58.00,62.73,20+,20+,0,0,TPL,LAN,LAN-SWITCH,#,"TP Link",https://www.tp-link.com,https://www.tp-link.com/uk/business-networking/poe-switch/tl-sg1005lp/,"5 Years",,"TP Link TL-SG1005LP, 5-Port Gigabit Desktop Switch with 4-Port PoE, 5 Years Warranty",https://images.auscomp.au//uploads/icecatimages/80231908/80231908_5955180254.jpg
II40699,TL-SG105PE,"TPL LAN TL-SG105PE",52.78,79,14,14,0,0,TPL,LAN,LAN-SWITCH,#,"TP Link",https://www.tp-link.com,https://www.tp-link.com/la/business-networking/unmanaged-switch/tl-sg105/,"5 Years","20 x 14 x 13","*Sale till 30th SEP* TP Link TL-SG105PE, 5-Port Gigabit Easy Smart Switch with 4-Port PoE+, 5 Years Warranty",https://images.auscomp.au//uploads/icecatimages/80377889/80377889_9128534538.jpg
II40700,USW-24-POE-AU,"UBI LAN USW-24-POE-AU",635.75,1117.27,15,13,2,0,UBI,LAN,LAN-SWITCH,#,Ubiquiti,https://store.ui.com,https://store.ui.com/collections/unifi-network-routing-switching/products/usw-24-poe,"2 Year","40 x 53 x 13","Ubiquiti USW-24-POE-AU, UniFi 24 port Managed Gigabit Switch, 16x PoE+ Ports, 8x Gigabit Ethernet Ports, with 2xSFP, 120W,  Touch Display, Fanless, 2 Year Warranty",https://images.auscomp.au//uploads/icecatimages/78469078/78469078_2002276937.jpg
II40719,ICUSBROLLOVR,"STT CAB USB-M-RJ45-M-1.8M",35.75,51.99,1,1,0,0,STT,CAB,CAB-USB,#,Startech,https://www.startech.com/,https://www.startech.com/Cables/Network/T1-Router/cisco-usb-console-cable~ICUSBROLLOVR,"2 Year","18 x 15 x 4","Startech ICUSBROLLOVR, 6 ft (1.8 m) Cisco USB Console Cable, USB to RJ45 Rollover Cable, 460Kbps, Windows, Mac and Linux Compatible, 2 Years Warranty",https://images.auscomp.au//uploads/icecatimages/69266927/69266927_5591268616.jpg
II40751,CL-W268-CU00GD-A,"THM ACC PACIFIC-G1/4-90-DEG-ADAPTER-GOLD",13.50,19,1,1,0,0,THM,ACC,ACC-OTHER,#,Thermaltake,https://www.thermaltake.com,https://www.thermaltake.com/pacific-g1-4-90-degree-adapter-gold.html,"1 Year",,"Thermaltake CL-W268-CU00GD-A, Pacific G1/4 90 Degree Adapter – Gold, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40751/full/THM-ACC-PACIFIC-G14-90-DEG-ADAPTER-GOLD.jpg
II22625,RC-HDMIDVI-3,"8WR CAB HDMI-DVI-D-M-M-3M",4.00,8,7,7,0,0.3,8WR,CAB,CAB-HDMI,#,8Ware,www.8ware.com.au,,"1 Year",,"8Ware RC-HDMIDVI-3, HDMI to DVI-D Adapter Converter Cable, Male to Male, Length: 3m, Black, 1 Year Warranty",https://images.auscomp.au/uploads/images/II22625/thumbs/250/0CB8W-RC-HDMIDVI-3.jpg
II40785,1X645AA,"HPL CBG 15.6-PRELUDE-PRO-RECYCLE-1X645AA",17.00,38.5,100+,100+,12,0,HPL,CBG,CBG-15-16,#,HP,,,"1 Year","47 x 35 x 6","HP 1X645AA, Prelude Pro Recycle 15.6"" Top Load, 1 Year Warranty",https://images.auscomp.au//uploads/icecatimages/79040397/79040397_3711377775.jpg
II35044,929906-001,"HPL KBD REPLACE-TOP-CVR-DAS-929906-001",70.00,128.7,1,1,0,0,HPL,KBD,ACC-NBOOK-SPARES,#,Hewlett-Packard,,,,,"*EMPR* HP 929906-001, TOP COVER, JTB W/TP W/NBL KB DAS US",https://images.auscomp.au/uploads/images/II35044/full/0/01752465746.jpg
II34481,L13912-001,"HPL ACC BACKCOVER-LCD-DARD-L13912-001",60.00,85.8,1,1,0,0,HPL,ACC,ACC-OTHER,#,Hewlett-Packard,,,"1 Year",,"*EMPR* HP L13912-001, BACK COVER, LCD DARD ASH SLV NEW, 1 Year Warranty",https://images.auscomp.au/uploads/images/II34481/full/0/01752464434.jpg
II37268,00PC757,"LEN NAD AC-ADAPTER-65W",65.00,92.95,1,1,0,0.375,LEN,NAD,NAD-65W,#,Lenovo,,,"1 Year","21 x 6 x 19","*EMPR CODE*Lenovo 00PC757, CRU,AC_ADAPTER,65W,100-240Vac,3P, 1 Year Warranty",https://images.auscomp.au/uploads/images/II37268/full/0/0len-nad-ac-adapter-65w.jpg
II40262,"AD 250/350-BR","GNR ACC SSD/HDD-MOUNTING-BKT-METAL",5.50,8.58,20+,20+,0,0,GNR,ACC,ACC-OTHER,#,Powertek,https://powertek.com.au,https://powertek.com.au/pro_detail.php?ProId=1001,"1 Year",,"Generic Ad 250/350-BR, 2.5""-3.5"" HDD Bracket, 1 Year Warranty",https://images.auscomp.au/uploads/images/II40262/full/GNR-ACC-SSDHDD-MOUNTING-BKT-METAL.JPG
II40910,2DP98AA#ABB,"HPA SSD 250GB-S700-2DP98AA",39.00,55.77,12,12,0,0.1,HPA,SSD,SSD-SATA,SSD-250,Hewlett-Packard,,,"3 Year","15 x 12 x 2","HP 2DP98AA#ABB, S700, 250GB, 2.5"" SATA, Read Speed: 555MB/s, Write Speed: 510MB/s, 3 Year Warranty&#x0D;",https://images.auscomp.au//uploads/icecatimages/38084922/38084922_9870113114.jpg
II40946,CL-W238-CU00BL-A,"THM FAN PACIFIC-CLM480-RADIATOR",155.00,199,2,2,0,0.23,THM,FAN,FAN-ACC,#,Thermaltake,https://reseller.thermaltake.com.au/,https://reseller.thermaltake.com.au/index.php?route=product/product&product_id=827&search=CL-W238-CU00BL-A,"1 Year",,"Thermaltake CL-W238-CU00BL-A, Thermaltake Pacific CLM480 Radiator, 1 Year Warranty",https://images.auscomp.au//uploads/icecatimages/71179221/71179221_9257060031.jpg
II41045,90NR0000-RW0140,"ASU NWR WARRANTY-3YR-PHYSICAL-GAMING-G701/703",133.00,193.05,1,1,0,0,ASU,NWR,#,#,Asus,https://www.asus.com,,"3 Years",,"Asus 90NR0000-RW0140, Pickup and Return Warranty - 2 Year to 3 Year uplift Gaming Notebook Excludes: G701/G703 (Physical Pack)",https://images.auscomp.au/uploads/images/II41045/full/ASU-NWR-WARRANTY-3YR-PHYSICAL-GAMING-G701703.jpg
II41090,VL-UCVH3C,"VOL CNV USB-C-M-HDMI/VGA-F-ADAPTER",25.00,31,6,6,0,0.038,VOL,CNV,CNV-VIDEO,#,Volans,https://www.volans.com.au,https://www.volans.com.au/product/vl-ucvh3c/,"1 Years","20 x 10 x 2","Volans VL-UCVH3C, Aluminium USB-C Multiport Adapter, Power Delivery, 4K HDMI/VGA/USB3.0, 1 Year Warranty",https://images.auscomp.au/uploads/images/II41090/full/VOL-CNV-USB-C-M-HDMIVGA-F-ADAPTER.jpg
II41095,USW-PRO-24-POE-AU,"UBI LAN USW-PRO-24-POE-AU","1,185.60",1479,1,1,0,0,UBI,LAN,LAN-SWITCH,#,Ubiquiti,https://store.ui.com/,https://store.ui.com/collections/unifi-network-routing-switching/products/usw-pro-24-poe,"2 Year","53 x 13 x 40","Ubiquiti USW-PRO-24-POE-AU, Ethernet Switch, 24xGbE Port, 16xPoE+ Port, 8xPoE++ Port, 2xSFP+ Port, 2 Layer, Manageable, 2 Year Warranty ",https://images.auscomp.au//uploads/icecatimages/76997555/76997555_5258343986.jpg
II41195,UE300C,"TPL LAN UE300C",21.50,23.64,5,5,0,0,TPL,LAN,LAN-USB-ADAPTORS,#,"TP Link",https://www.tp-link.com,https://www.tp-link.com/in/home-networking/computer-accessory/ue300c/#overview,"1 Year",,"TP Link UE300C, USB Type-C to RJ45 Gigabit Ethernet Network Adapter, 1 Year Warranty",https://images.auscomp.au//uploads/icecatimages/80476041/80476041_5236647509.jpg
II41200,TL-SG1428PE,"TPL LAN TL-SG1428PE",289.93,390.85,2,1,1,0,TPL,LAN,LAN-SWITCH,#,"TP Link",https://www.tp-link.com,https://www.tp-link.com/uk/business-networking/poe-switch/tl-sg1428pe/,"1 Year",,"*Sale till 30th SEP* TP Link TL-SG1428PE, 28-Port Gigabit Easy Smart Switch with 24-Port PoE+, 5 Years Warranty",https://images.auscomp.au//uploads/icecatimages/81642589/81642589_6404416071.jpg
II41218,USW-PRO-48-POE-AU,"UBI LAN USW-PRO-48-POE-AU","1,720.00",2220.9,3,3,0,0,UBI,LAN,LAN-SWITCH,#,Ubiquiti,https://store.ui.com,https://store.ui.com/collections/unifi-network-routing-switching/products/usw-pro-48-poe,"2 Year","51 x 53 x 13","Ubiquiti USW-Pro-48-POE-AU, UniFi 48 port Managed Gigabit Layer2 and Layer3 switch with auto-sensing 802.3at PoE+ and 802.3bt PoE, Touch Display, 600W Gen2, 2 Year Warranty",https://images.auscomp.au//uploads/icecatimages/76997554/76997554_2007796389.jpg
II41285,MX4U2FE/A,"APP CBG IPAD-7GEN-AIR-3GEN-SMART-COVER-BLACK",68.09,77.27,5,5,0,0.525,APP,CBG,CBG-IPAD,#,Apple,,,,,"Apple MX4U2FE/A, Smart Cover for iPad 7th Gen and iPad Air 3rd Gen -Black , 10.5"", 1 Year Warranty ",https://images.auscomp.au//uploads/icecatimages/78710517/78710517_9495666602.jpg
II41308,UC-2001CC,"8WR CAB USBC-M-M-1M",3.00,12,1,1,0,0.3,8WR,CAB,CAB-USB,#,8Ware,,,"1 Year","28 x 13 x 2","8Ware UC-2001CC, USB 2.0, Type-C to C, 480Mbps, 1m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II41308/full/8WR-CAB-USBC-M-M-1M.jpg
II41310,MZ-77Q2T0BW,"SAM SSD 2TB-MZ-77Q2T0BW-QVO",228.00,421.3,1,1,0,0.1,SAM,SSD,SSD-SATA,SSD-2TB,Samsung,https://www.samsung.com,https://www.samsung.com/sg/memory-storage/870-qvo-sata-3-2-5-ssd/MZ-77Q2T0BW/,"3 Year","15 x 10 x 2","Samsung MZ-77Q2T0BW, 870 QVO 2TB, SATA III 6GB/s, Read: 560MB/s, Write: 530MB/s, 3 Years Warranty",https://images.auscomp.au//uploads/icecatimages/79359787/79359787_3214108450.jpg
II41327,CAT6THINBL-050M,"8WR CAB NW-CAT6-0.5M-ULTRA-THIN-BLUE",3.50,4.63,7,7,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,https://ubiquitistore.com.au/,https://ubiquitistore.com.au/product/8ware-cat6-ultra-thin-slim-cable-0-5m-50cm-blue-color-premium-rj45-ethernet-network-lan-utp-patch-cord-26awg-cat6thinbl-050m/,"1 Year","17 x 11 x 1","8Ware CAT6THINBL-050M, CAT6 Ultra Thin Slim Cable 0.5m /50cm - Blue Color Premium RJ45 Ethernet Network LAN UTP Patch Cord 26AWG, 1 Year Warranty",https://images.auscomp.au/uploads/images/II41327/full/8WR-CAB-NW-CAT6-05M-ULTRA-THIN-BLUE.jpg
II41328,CAT6THINBL-1M,"8WR CAB NW-CAT6-1M-ULTRA-THIN-BLUE",4.10,4.87,12,12,0,0,8WR,CAB,CAB-CAT6,#,8Ware,https://ubiquitistore.com.au/,https://ubiquitistore.com.au/product/8ware-cat6-ultra-thin-slim-cable-1m-100cm-blue-color-premium-rj45-ethernet-network-lan-utp-patch-cord-26awg-cat6thinbl-1m/,"1 Year","25 x 18 x 2","8Ware CAT6THINBL-1M, CAT6 Ultra Thin Slim Cable 1m / 100cm - Blue Color Premium RJ45 Ethernet Network LAN UTP Patch Cord 26AWG, 1 Year Warranty",https://images.auscomp.au/uploads/images/II41328/full/8WR-CAB-NW-CAT6-1M-ULTRA-THIN-BLUE.jpg
II41352,3ML04AA,"HPL KBD WLS-300-3ML04AA",29.00,40.86,50+,50+,6,1.5,HPL,KBD,KBD-WIRELESS,KBD-COMBO,HP,https://ssl.www8.hp.com,https://ssl.www8.hp.com/emea_africa/en/products/oas/product-detail.html?oid=23564280,"1 Year",,"*Retail Box* HP 3ML04AA, Wireless Keyboard and Mouse 300, 1 Year Warranty (Retail Box)",https://images.auscomp.au//uploads/icecatimages/59327422/59327422_2669003759.jpg
II41382,1F5P4AA#ABB,"HPA SSD EXT-P-1TB-P500-1F5P4AA",125.00,209,1,1,0,0.1,HPA,SSD,SSD-SATA,SSD-1TB,"Hewlett Packard",,,"3 Year","18 x 11 x 4","HP 1F5P4AA#ABB, P500 Portable SSD, 1TB, Black, Read Speeds: 420MB/s, Write Speeds: 200MB/s, 3 Years Warranty",https://images.auscomp.au/uploads/images/II41382/full/HPA-SSD-EXT-P-1TB-P500-1F5P4AA.jpg
II41425,HDMI2R2,"8WR CAB HDMI-M-M-19PIN-2M",4.90,14,6,6,0,0.3,8WR,CAB,CAB-HDMI,#,8Ware,,,"1 Year","20 x 8 x 3","8Ware HDMI2R2, 8Ware Premium HDMI 2.0 Cable, 19 pins Male to Male, UHD 4K, 24K Gold Plated, 2m, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II41425/full/8WR-CAB-HDMI-M-M-19PIN-2M.jpg
II41448,HDMI2R5,"8WR CAB HDMI-M-M-19PIN-5M",9.40,28,5,5,0,0.3,8WR,CAB,CAB-HDMI,#,8Ware,,,"1 Year","21 X 8 X 6","8Ware HDMI2R5, Premium HDMI 2.0 Cable, 19 pins Male to Male UHD, Gold Plated, 30AWG, 5m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II41448/full/8WR-CAB-HDMI-M-M-19PIN-5M.jpg
II41555,TL-SG2008P,"TPL LAN TL-SG2008P",128.00,169,2,2,0,0,TPL,LAN,LAN-SWITCH,#,Tp-Link,https://www.tp-link.com/,https://www.tp-link.com/in/business-networking/omada-sdn-switch/tl-sg2008p/,"5 Year",,"TP-Link TL-SG2008P, JetStream 8-Port Gigabit Smart Switch with 4-Port PoE+ Fanless Support Omada SDN, 802.1p CoS/DSCP QOS and IGMP Snooping, 5 Years Warranty",https://images.auscomp.au//uploads/icecatimages/85944437/85944437_6114459859.jpg
